,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
18,Ladder,20211012T212417.000Z,Luiz Ricardo,TurtwigData,0,3,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Skeletons,Electro Spirit,Archers,Knight,Fireball,The Log,X-Bow,Tesla
19,Ladder,20211012T211745.000Z,Luiz Ricardo,✫ I ƜӇƖƬⲈ ƁⲈƛƦƊ,1,2,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Elixir Golem,Inferno Dragon,Tornado,Night Witch,Electro Dragon,Heal Spirit,Rage,Battle Healer
20,Ladder,20211012T211022.000Z,Luiz Ricardo,Ian77,0,1,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Knight,X-Bow,The Log
21,Ladder,20211012T205739.000Z,Luiz Ricardo,Ruhrpott I Omar,3,0,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Royal Hogs,Mother Witch,The Log,Cannon Cart,Skeleton Dragons,Skeletons,Goblin Cage,Fireball
22,Ladder,20211012T205255.000Z,Luiz Ricardo,♣️♦️Pedal♥️♠️,1,0,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Royal Recruits,Wall Breakers,Royal Ghost,Elite Barbarians,Princess,Executioner,Bandit,Goblin Drill
23,Ladder,20211012T204808.000Z,Luiz Ricardo,luffy,0,1,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Barbarian Barrel,Witch,Freeze,Giant,Graveyard,Arrows,Mega Minion,Fisherman
24,Ladder,20211012T204421.000Z,Luiz Ricardo,Kodigoⓒʀ,0,1,Hog Rider,Ice Golem,Fireball,Musketeer,Ice Spirit,Skeletons,Cannon,The Log,Royal Giant,Fisherman,Mother Witch,Mega Minion,Electro Spirit,Dark Prince,Fireball,The Log
0,Friendly,20211013T235435.000Z,Mattia™ 2,TheUnBaD-,1,0,Baby Dragon,Barbarian Barrel,Graveyard,Tornado,Mega Minion,Goblin Cage,Fireball,Knight,Firecracker,Fire Spirit,Hog Rider,Earthquake,The Log,Valkyrie,Tesla,Skeletons
1,Friendly,20211013T235003.000Z,Mattia™ 2,TheUnBaD-,1,0,Goblin Barrel,Arrows,Electro Wizard,Mega Knight,Dart Goblin,Fireball,Bandit,Prince,Goblin Barrel,Rascals,The Log,Princess,Dart Goblin,Dark Prince,Prince,Rocket
2,Friendly,20211013T234510.000Z,Mattia™ 2,TheUnBaD-,1,0,Bandit,Royal Hogs,Ice Golem,Hunter,Barbarian Barrel,Royal Ghost,Three Musketeers,Heal Spirit,Bowler,Inferno Dragon,Lumberjack,Freeze,Barbarian Barrel,Tornado,Electro Dragon,Balloon
3,Friendly,20211013T234124.000Z,Mattia™ 2,TheUnBaD-,3,0,Hog Rider,Arrows,Minion Horde,Miner,Princess,Zap,Fire Spirit,Goblins,Bowler,Fireball,Goblin Barrel,The Log,Mirror,Minion Horde,Furnace,Rascals
4,Friendly,20211013T233808.000Z,Mattia™ 2,TheUnBaD-,3,1,Heal Spirit,Elite Barbarians,Barbarian Barrel,Cannon Cart,Royal Ghost,Bandit,Mother Witch,Magic Archer,Balloon,Tesla,Freeze,Fisherman,Zap,Inferno Dragon,Royal Recruits,Wizard
5,Friendly,20211013T233406.000Z,Mattia™ 2,TheUnBaD-,3,0,Electro Giant,Skeleton Army,Bats,Zap,Battle Healer,Mirror,Bowler,Firecracker,Electro Giant,Mega Knight,Fire Spirit,The Log,Tornado,Bomber,Tesla,Earthquake
6,Ladder,20211013T220511.000Z,Mattia™ 2,最強 l ᴄᴏʀᴠᴇʀᴀ,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Royal Giant,Mega Minion,Skeletons,Fisherman,Electro Wizard,Royal Ghost,Fireball,The Log
7,Ladder,20211013T215916.000Z,Mattia™ 2,Gary,0,1,Hog Rider,Valkyrie,Musketeer,Bomb Tower,Skeletons,The Log,Earthquake,Giant Snowball,Goblin Cage,Barbarian Barrel,Zappies,Fireball,Royal Recruits,Royal Hogs,Flying Machine,Arrows
8,Ladder,20211013T213339.000Z,Mattia™ 2,CMG Zwiebler_Cr,0,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Goblin Cage,Valkyrie,Fireball,Ice Wizard,Tornado,Barbarian Barrel,Graveyard,Baby Dragon
9,Ladder,20211013T212218.000Z,Mattia™ 2,Renan♥️Larissa♬,0,3,Hog Rider,Valkyrie,Musketeer,Bomb Tower,Skeletons,The Log,Earthquake,Giant Snowball,Golem,Night Witch,Electro Dragon,Skeleton Dragons,Tornado,Fireball,Guards,Fisherman
10,Ladder,20211013T211906.000Z,Mattia™ 2,stan f,0,1,Hog Rider,Valkyrie,Musketeer,Bomb Tower,Skeletons,The Log,Earthquake,Giant Snowball,Royal Hogs,Royal Recruits,Zappies,Flying Machine,Fireball,Arrows,Goblin Cage,Barbarian Barrel
11,Ladder,20211013T210905.000Z,Mattia™ 2,Luciffer 69,1,0,Hog Rider,Valkyrie,Musketeer,Bomb Tower,Skeletons,The Log,Earthquake,Giant Snowball,Furnace,Fireball,Flying Machine,Barbarian Barrel,Goblin Hut,Cannon Cart,Elite Barbarians,Mother Witch
12,Ladder,20211013T204833.000Z,Mattia™ 2,<c2>⚡️Manuel⚡️,1,0,Hog Rider,Valkyrie,Musketeer,Bomb Tower,Skeletons,The Log,Earthquake,Giant Snowball,Musketeer,Graveyard,Arrows,Bats,Giant,Giant Snowball,Elite Barbarians,Skeleton Army
13,Ladder,20211013T202612.000Z,Mattia™ 2,pitu♡,1,0,Hog Rider,Valkyrie,Musketeer,Bomb Tower,Skeletons,The Log,Earthquake,Giant Snowball,Fireball,Bandit,Electro Wizard,Magic Archer,Ram Rider,Mega Knight,Inferno Dragon,Mother Witch
14,Ladder,20211013T202021.000Z,Mattia™ 2,༄Nexus❤️YTB,0,1,Hog Rider,Valkyrie,Musketeer,Bomb Tower,Skeletons,The Log,Earthquake,Giant Snowball,The Log,X-Bow,Skeletons,Tesla,Valkyrie,Tornado,Rocket,Ice Wizard
15,Ladder,20211013T201328.000Z,Mattia™ 2,LOU GILBERT,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Skeleton Army,Valkyrie,Inferno Tower,Fire Spirit,Goblin Drill,Wall Breakers,Fireball,Bomber
16,Ladder,20211013T200708.000Z,Mattia™ 2,maksteror,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Electro Wizard,Cannon Cart,Heal Spirit,Fireball,Bandit,Barbarian Barrel,Mother Witch,Elite Barbarians
17,Ladder,20211013T183803.000Z,Mattia™ 2,O.Y,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Elixir Collector,Ice Golem,Royal Ghost,Barbarian Barrel,Three Musketeers,Hunter,Battle Ram,Bandit
18,Challenge,20211013T181035.000Z,Mattia™ 2,天空 l るーく,0,3,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Miner,Musketeer,Balloon,Giant Snowball,Skeletons,Ice Golem,Barbarian Barrel,Bomb Tower
19,Challenge,20211013T180741.000Z,Mattia™ 2,天空 I Sakura,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Musketeer,Giant Snowball,Balloon,Bomb Tower,Skeletons,Miner,Barbarian Barrel,Ice Golem
20,Challenge,20211013T180307.000Z,Mattia™ 2,灬苏苏灬,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Cannon Cart,Fireball,Goblin Cage,Mother Witch,Royal Hogs,Skeleton Dragons,Skeletons,The Log
21,Challenge,20211013T175807.000Z,Mattia™ 2,灬苏苏灬,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Cannon Cart,Fireball,Goblin Cage,Mother Witch,Royal Hogs,Skeleton Dragons,Skeletons,The Log
22,Challenge,20211013T175115.000Z,Mattia™ 2,KoSgOn,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,The Log,Miner,Spear Goblins,Wall Breakers,Bats,Valkyrie,Tesla,Fireball
23,Challenge,20211013T174558.000Z,Mattia™ 2,o agressivo,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log,Mega Minion,Giant Snowball,Goblin Cage,Fireball,Cannon Cart,Valkyrie,Archers,Graveyard
24,Challenge,20211013T173955.000Z,Mattia™ 2,Big Boss,1,0,Hog Rider,Valkyrie,Musketeer,Bomb Tower,Skeletons,Fire Spirit,Earthquake,Giant Snowball,Graveyard,Knight,Barbarian Hut,Baby Dragon,Electro Wizard,Barbarian Barrel,Mega Minion,Fireball
0,Ladder,20211013T151625.000Z,Nova I Shyloo,STALKER™,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Electro Giant,Lightning,Dark Prince,Bomber,Inferno Dragon,Tornado,Goblin Cage,Skeletons
1,Ladder,20211013T151026.000Z,Nova I Shyloo,<c2>⚡️Manuel⚡️,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Musketeer,Graveyard,Arrows,Bats,Giant,Giant Snowball,Elite Barbarians,Skeleton Army
2,Ladder,20211013T150454.000Z,Nova I Shyloo,TRT丨Cooper,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Goblin Drill,Bandit,Royal Ghost,Bomber,Tesla,Fireball,Skeletons,The Log
3,Ladder,20211013T143727.000Z,Nova I Shyloo,Cris72 ツ,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Archers,X-Bow,Knight,Fireball,Skeletons,Tesla,The Log,Ice Spirit
4,Friendly,20211012T225939.000Z,Nova I Shyloo,TyskieLover<3,3,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Ice Spirit,Skeletons,Cannon,Musketeer,Ice Golem,Fireball,Hog Rider,The Log
5,Ladder,20211012T162525.000Z,Nova I Shyloo,ABASS,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Electro Spirit,Skeletons,Valkyrie,Tesla,Goblin Barrel,Rocket,The Log,Princess
6,Ladder,20211012T161905.000Z,Nova I Shyloo,Ángel,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Zap,Bandit,Magic Archer,Battle Ram,Electro Wizard,Royal Ghost,P.E.K.K.A,Fireball
7,Ladder,20211012T161249.000Z,Nova I Shyloo,CocarX❄️,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Archers,Fireball,Giant Snowball,Mortar,Musketeer,Royal Hogs,Skeletons,Valkyrie
8,Ladder,20211012T160843.000Z,Nova I Shyloo,TK_Gaming,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Royal Giant,Mega Minion,Baby Dragon,Goblin Cage,Electro Spirit,Lumberjack,Fireball,Barbarian Barrel
9,Ladder,20211012T160411.000Z,Nova I Shyloo,SMILES,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Goblin Cage,Barbarian Barrel,Zappies,Fireball,Royal Recruits,Royal Hogs,Flying Machine,Arrows
10,Ladder,20211012T155803.000Z,Nova I Shyloo,TAKE™,0,3,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Goblin Giant,Hunter,Barbarian Barrel,Mega Minion,Lightning,Giant Snowball,Sparky,Dark Prince
11,Ladder,20211012T155433.000Z,Nova I Shyloo,darko,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Three Musketeers,Royal Ghost,Heal Spirit,Barbarian Barrel,Ice Golem,Bandit,Elite Barbarians,Elixir Collector
12,Ladder,20211012T154833.000Z,Nova I Shyloo,メリオダス⚔️,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Ice Spirit,The Log,Princess,Goblin Gang,Goblin Barrel,Prince,Rascals,Rocket
13,Ladder,20211012T154325.000Z,Nova I Shyloo,CMG Zwiebler_Cr,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Goblin Cage,Valkyrie,Fireball,Ice Wizard,Tornado,Barbarian Barrel,Graveyard,Baby Dragon
14,Ladder,20211012T153725.000Z,Nova I Shyloo,KopoJlb Umnepuu,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log
15,Ladder,20211012T153132.000Z,Nova I Shyloo,Gary,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Goblin Cage,Barbarian Barrel,Zappies,Fireball,Royal Recruits,Royal Hogs,Flying Machine,Arrows
16,Ladder,20211012T152434.000Z,Nova I Shyloo,~♤Gianpaolo♤~,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Mother Witch,Zap,Fireball,Fisherman,P.E.K.K.A,Elite Barbarians,Electro Wizard,Battle Ram
17,Ladder,20211012T151847.000Z,Nova I Shyloo,⭐️ I RoXaS,0,3,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Giant,Graveyard,Arrows,Mega Minion,Freeze,Barbarian Barrel,Witch,Fisherman
18,Ladder,20211012T151323.000Z,Nova I Shyloo,GamePossedion⚡☠,0,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Zap,Arrows,Minions,Mega Minion,Fireball,Giant,Dark Prince,Prince
19,Ladder,20211012T150646.000Z,Nova I Shyloo,AHMEDTAREK,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Zap,Princess,Fire Spirit,Inferno Tower,The Log,Miner,Goblins,Mini P.E.K.K.A
20,Ladder,20211012T150159.000Z,Nova I Shyloo,みかん坊や,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Mother Witch,Mega Minion,Royal Giant,Fisherman,The Log,Skeletons,Fireball,Electro Spirit
21,Ladder,20211012T145644.000Z,Nova I Shyloo,⚡Luccas⚡™ツ ²,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Mortar,The Log,Minion Horde,Goblin Gang,Miner,Fireball,Cannon Cart,Spear Goblins
22,Ladder,20211012T144858.000Z,Nova I Shyloo,Ferchu10,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Knight,Barbarian Barrel,Skeletons,Graveyard,Archers,Electro Wizard,Poison,Furnace
23,Ladder,20211012T141525.000Z,Nova I Shyloo,Bryan,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Fireball,Electro Wizard,Sparky,Skeleton Army,Minion Horde,The Log,Princess,Goblin Drill
24,Ladder,20211012T140739.000Z,Nova I Shyloo,King Erik,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Royal Giant,Baby Dragon,Electro Wizard,Furnace,Barbarian Barrel,Lumberjack,Fireball,Mega Minion
0,Ladder,20211013T174418.000Z,KopoJlb Umnepuu,Dess,1,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Electro Wizard,Bowler,Inferno Dragon,Graveyard,Valkyrie,Tornado,Baby Dragon,Freeze
1,Ladder,20211013T172414.000Z,KopoJlb Umnepuu,Master,1,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Royal Giant,Fisherman,The Log,Mother Witch,Electro Spirit,Skeletons,Fireball,Hunter
2,Ladder,20211013T171728.000Z,KopoJlb Umnepuu,GS丨傻蛋浪客❤初拥™,1,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Minions,Fireball,Zap,Electro Wizard,Bandit,Battle Ram,Royal Ghost,P.E.K.K.A
3,Ladder,20211013T170857.000Z,KopoJlb Umnepuu,CMG Zwiebler_Cr,0,1,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Goblin Cage,Valkyrie,Fireball,Ice Wizard,Tornado,Barbarian Barrel,Graveyard,Baby Dragon
4,Ladder,20211013T163053.000Z,KopoJlb Umnepuu,КОТ-НАРКОТ,1,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Rocket,The Log,Princess,Goblin Barrel,Dart Goblin,Rascals,Prince,Goblin Gang
5,Ladder,20211013T145839.000Z,KopoJlb Umnepuu,NOTORIOUS SIR,1,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Royal Giant,Minions,Zap,Barbarians,Sparky,Arrows,Hog Rider,Minion Horde
6,Ladder,20211013T145342.000Z,KopoJlb Umnepuu,Bruno sem gemas,1,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Giant,Giant Snowball,Night Witch,Skeleton Army,Bowler,Graveyard,Arrows,Bats
7,Ladder,20211013T144926.000Z,KopoJlb Umnepuu,bbb8,0,1,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,The Log,Princess,Rocket,Goblin Barrel,Electro Spirit,Valkyrie,Goblin Gang,Tesla
8,Ladder,20211013T144317.000Z,KopoJlb Umnepuu,ABASS,0,1,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Electro Spirit,Skeletons,Valkyrie,Tesla,Goblin Barrel,Rocket,The Log,Princess
9,Ladder,20211013T143651.000Z,KopoJlb Umnepuu,imparator orhan,0,1,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Lava Hound,Lumberjack,Baby Dragon,Bats,Flying Machine,Fireball,Clone,Skeleton Army
10,Challenge,20211013T135324.000Z,KopoJlb Umnepuu,RatroM,1,2,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Lava Hound,Lumberjack,Baby Dragon,Flying Machine,Bats,Fireball,Clone,Skeleton Army
11,Challenge,20211013T132645.000Z,KopoJlb Umnepuu,İNFAZCI,1,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Electro Wizard,Bandit,Zap,Fireball,P.E.K.K.A,Battle Ram,Royal Ghost,Magic Archer
12,Challenge,20211013T131556.000Z,KopoJlb Umnepuu,Jon,1,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Furnace,Fireball,Flying Machine,Barbarian Barrel,Goblin Hut,Cannon Cart,Elite Barbarians,Mother Witch
13,Challenge,20211013T131152.000Z,KopoJlb Umnepuu,Toka,1,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Elite Barbarians,Mother Witch,Battle Ram,Magic Archer,Bandit,Royal Ghost,Heal Spirit,Barbarian Barrel
14,Challenge,20211013T130626.000Z,KopoJlb Umnepuu,༼༃Lars༃༽,0,1,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Royal Giant,Skeletons,Electro Spirit,The Log,Mother Witch,Mega Minion,Fireball,Fisherman
15,Challenge,20211013T130140.000Z,KopoJlb Umnepuu,⭐NS I 귀서피나蟲⭐,1,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Royal Giant,Lumberjack,Inferno Dragon,Goblin Cage,Fireball,Barbarian Barrel,Electro Spirit,Baby Dragon
16,Challenge,20211013T125710.000Z,KopoJlb Umnepuu,Bryant Myers,2,1,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Lava Hound,Mega Minion,Barbarians,Fireball,Goblin Cage,Electro Dragon,Miner,Arrows
17,Challenge,20211013T125347.000Z,KopoJlb Umnepuu,ふじきのアンチ,1,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Mother Witch,Mega Minion,Royal Giant,Fisherman,The Log,Skeletons,Fireball,Electro Spirit
18,Challenge,20211013T124957.000Z,KopoJlb Umnepuu,Bastián,1,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Mega Knight,Skeletons,Wizard,Arrows,Spear Goblins,Lightning,Musketeer,Prince
19,Challenge,20211013T124545.000Z,KopoJlb Umnepuu,MisticoPapayoso,3,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Hog Rider,Ice Golem,Fire Spirit,Skeletons,The Log,Cannon,Fireball,Wizard
20,Challenge,20211013T124257.000Z,KopoJlb Umnepuu,e.l.a.d,3,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Spear Goblins,Firecracker,Tesla,Goblin Barrel,Wall Breakers,The Log,Electro Spirit,Valkyrie
21,Challenge,20211013T124016.000Z,KopoJlb Umnepuu,mohamad,0,3,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Lava Hound,Balloon,Bomber,Inferno Dragon,Skeleton Army,Arrows,Giant Snowball,Minions
22,Ladder,20211012T190052.000Z,KopoJlb Umnepuu,ABASS,1,0,Hog Rider,Cannon,Musketeer,Fireball,Skeletons,Ice Golem,Electro Spirit,The Log,Electro Spirit,Skeletons,Valkyrie,Tesla,Goblin Barrel,Rocket,The Log,Princess
