,gamemode,battletime,p1.name,p2.name,p1.crowns,p2.crowns,p1.card_1,p1.card_2,p1.card_3,p1.card_4,p1.card_5,p1.card_6,p1.card_7,p1.card_8,p2.card_1,p2.card_2,p2.card_3,p2.card_4,p2.card_5,p2.card_6,p2.card_7,p2.card_8
22,Ladder,20211005T193317.000Z,Mattia™ 2,αʍιƦ κhα†αƦ cƦ,0,3,Hog Rider,Valkyrie,Musketeer,Bomb Tower,Skeletons,The Log,Earthquake,Giant Snowball,Goblin Giant,Rage,Mini P.E.K.K.A,Mega Minion,Electro Wizard,Zap,Dark Prince,Sparky
23,Ladder,20211005T193051.000Z,Mattia™ 2,FS Guiih先輩✨,0,1,Hog Rider,Valkyrie,Musketeer,Bomb Tower,Skeletons,The Log,Earthquake,Giant Snowball,Ice Golem,Hog Rider,Mini P.E.K.K.A,Skeletons,Bats,Firecracker,The Log,Earthquake
24,Ladder,20211005T185943.000Z,Mattia™ 2,Simone,1,0,Hog Rider,Valkyrie,Musketeer,Bomb Tower,Skeletons,Fire Spirit,Earthquake,Giant Snowball,Rocket,Goblin Barrel,Minion Horde,Goblin Hut,Prince,Skeleton Army,Valkyrie,Arrows
0,Ladder,20211005T220544.000Z,Nova I Matt™,D◇E◇R◇E◇K,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Zap,Balloon,Miner,Inferno Dragon,Fireball,Ice Golem,Goblin Cage,Mega Minion
1,Ladder,20211005T215442.000Z,Nova I Matt™,3hunna Nathan,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Skeletons,Electro Spirit,Archers,The Log,Knight,Tesla,X-Bow,Fireball
6,Ladder,20211005T201904.000Z,Nova I Matt™,αʍιƦ κhα†αƦ cƦ,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Goblin Giant,Rage,Mini P.E.K.K.A,Mega Minion,Electro Wizard,Zap,Dark Prince,Sparky
7,Ladder,20211005T200822.000Z,Nova I Matt™,SNG Bielvinis,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Royal Giant,Fireball,Mother Witch,Skeletons,Electro Spirit,Mega Minion,The Log,Fisherman
11,Ladder,20211005T180616.000Z,Nova I Matt™,Not Feddi,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Royal Delivery,Graveyard,Electro Wizard,Royal Ghost,Freeze,Prince,Hunter,The Log
12,Ladder,20211005T134609.000Z,Nova I Matt™,maxirus,1,3,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Lava Hound,Flying Machine,Skeleton Dragons,Mega Minion,Goblin Cage,Miner,Guards,Arrows
13,Ladder,20211005T133957.000Z,Nova I Matt™,给你一棒,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Bats,Arrows,Flying Machine,Clone,Baby Dragon,Lumberjack,Lava Hound,Skeleton Army
14,Ladder,20211005T132535.000Z,Nova I Matt™,LD 部落最靓的仔,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Royal Giant,Giant Skeleton,Mother Witch,Goblin Barrel,Skeleton Army,Zappies,Bomber,Arrows
15,Ladder,20211005T131636.000Z,Nova I Matt™,MRC I David,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Skeletons,Ice Spirit,Electro Spirit,The Log,Goblin Barrel,Skeleton Barrel,Dart Goblin,Princess
16,Ladder,20211005T130445.000Z,Nova I Matt™,Simone,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Rocket,Goblin Barrel,Minion Horde,Goblin Hut,Prince,Skeleton Army,Valkyrie,Arrows
17,Ladder,20211005T124132.000Z,Nova I Matt™,♥️Krasilkov♥️,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Fireball,Wall Breakers,Valkyrie,Miner,Magic Archer,Bomb Tower,Spear Goblins,Tornado
18,Ladder,20211005T123522.000Z,Nova I Matt™,<c2>⚡️Manuel⚡️,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Giant,Graveyard,Arrows,Bats,Musketeer,Giant Snowball,Elite Barbarians,Skeleton Army
19,Ladder,20211005T123016.000Z,Nova I Matt™,CHN丨Mr.Ca$h✨,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Royal Giant,Tesla,Electro Spirit,Earthquake,Elite Barbarians,Firecracker,Skeletons,The Log
20,Ladder,20211005T122438.000Z,Nova I Matt™,ᴄᴀʀɴᴀɢᴇ༒,1,2,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Lava Hound,Balloon,Minions,Fireball,Miner,Fisherman,Minion Horde,Zap
21,Ladder,20211005T120653.000Z,Nova I Matt™,N。,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Golem,Night Witch,Lumberjack,Baby Dragon,Skeleton Army,Bats,Arrows,Clone
22,Ladder,20211005T115850.000Z,Nova I Matt™,Star I Spooky,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Cannon,Skeletons,The Log,Baby Dragon,Elite Barbarians,Fireball,Inferno Dragon,Lava Hound,Miner,Skeleton Army,Zap
23,Ladder,20211005T115345.000Z,Nova I Matt™,ken,0,1,Royal Giant,Skeletons,The Log,Mother Witch,Electro Spirit,Fisherman,Fireball,Mega Minion,P.E.K.K.A,Ram Rider,Bandit,Barbarian Barrel,Baby Dragon,Electro Wizard,Lightning,Giant Snowball
24,Ladder,20211005T114418.000Z,Nova I Matt™,The Goat,1,0,The Log,Skeletons,Tesla,Valkyrie,Firecracker,Earthquake,Ice Spirit,Hog Rider,Valkyrie,Skeleton Barrel,Goblin Barrel,Wall Breakers,Tesla,Firecracker,Goblin Gang,Skeleton Army
0,Ladder,20211006T171300.000Z,♡｜Mastani✨,Sofiane JR,1,0,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Valkyrie,Royal Hogs,Mortar,Musketeer,Spear Goblins,Fire Spirit,Earthquake,Royal Delivery
1,Ladder,20211006T170843.000Z,♡｜Mastani✨,canelo,0,1,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,P.E.K.K.A,Lightning,Ram Rider,Electro Wizard,Barbarian Barrel,Giant Snowball,Fisherman,Baby Dragon
2,Ladder,20211006T170304.000Z,♡｜Mastani✨,NoTaiR★,0,1,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Princess,The Log,Skeleton Army,Inferno Tower,Goblin Gang,Goblin Barrel,Minion Horde,Miner
3,Ladder,20211006T165912.000Z,♡｜Mastani✨,STALKER™,1,0,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Knight,Skeletons,Fireball,Archers,X-Bow,The Log,Tesla,Ice Spirit
4,Ladder,20211006T165323.000Z,♡｜Mastani✨,zumishie™,0,1,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Cannon Cart,Minion Horde,Miner,Goblin Gang,Fireball,Mortar,Spear Goblins,The Log
5,Ladder,20211006T164708.000Z,♡｜Mastani✨,3hunna Nathan,1,0,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Skeletons,Electro Spirit,Archers,The Log,Knight,Tesla,X-Bow,Fireball
6,Ladder,20211006T164046.000Z,♡｜Mastani✨,☠Philipp™️☠,1,0,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Golem,Dark Prince,Baby Dragon,Lumberjack,Electro Dragon,Tornado,Bomber,Night Witch
7,Ladder,20211006T163720.000Z,♡｜Mastani✨,SNG Bielvinis,0,3,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Royal Giant,Fisherman,Mother Witch,Mega Minion,Electro Spirit,Skeletons,Fireball,The Log
8,Ladder,20211006T163258.000Z,♡｜Mastani✨,CHN｜A l p h q q,0,1,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Goblin Barrel,Electro Spirit,Goblin Gang,Princess,Inferno Tower,Rocket,The Log,Knight
9,Ladder,20211006T162312.000Z,♡｜Mastani✨,★★EVER★★,1,0,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Firecracker,Electro Spirit,Earthquake,Hog Rider,Tesla,The Log,Valkyrie,Skeletons
10,Ladder,20211006T161633.000Z,♡｜Mastani✨,Blazzer,2,1,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Lava Hound,Skeleton Dragons,Mega Minion,Barbarians,Flying Machine,Miner,Barbarian Hut,Arrows
13,Ladder,20211006T150102.000Z,♡｜Mastani✨,Big Jasp TV,3,0,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,P.E.K.K.A,Magic Archer,Royal Ghost,Ram Rider,Bandit,Zap,Fireball,Electro Wizard
14,Ladder,20211006T145806.000Z,♡｜Mastani✨,MONT™ Legendary,1,0,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Princess,The Log,Goblin Barrel,Dart Goblin,Inferno Tower,Knight,Skeleton Barrel,Skeleton Army
15,Ladder,20211006T145324.000Z,♡｜Mastani✨,Carrlloss,1,0,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Balloon,Miner,Giant Snowball,Fisherman,Bats,Royal Delivery,Rascals,Inferno Tower
16,Ladder,20211006T144936.000Z,♡｜Mastani✨,lord,1,0,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Mega Knight,Dark Prince,Fisherman,Electro Wizard,Goblin Barrel,Skeleton Army,Firecracker,Arrows
17,Ladder,20211006T144620.000Z,♡｜Mastani✨,POP SMOKE,1,2,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Goblin Giant,Sparky,Mega Minion,Mother Witch,Elite Barbarians,Heal Spirit,Zap,Rage
18,Ladder,20211006T144229.000Z,♡｜Mastani✨,Pobre Castanha™,2,1,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Lava Hound,Miner,Arrows,Barbarians,Zap,Balloon,Skeleton Dragons,Inferno Dragon
19,Ladder,20211006T143838.000Z,♡｜Mastani✨,Esteban (:,1,0,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Mortar,Goblin Gang,Minion Horde,Cannon Cart,The Log,Miner,Fireball,Spear Goblins
20,Ladder,20211006T143508.000Z,♡｜Mastani✨,<c5>Ulaş,1,0,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Mega Knight,Inferno Dragon,Royal Ghost,Arrows,Ram Rider,Electro Wizard,Bandit,Fireball
21,Ladder,20211006T142345.000Z,♡｜Mastani✨,Nova I Arda,1,0,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Archers,Skeletons,Tesla,Fireball,Ice Spirit,Knight,X-Bow,The Log
22,Ladder,20211006T141409.000Z,♡｜Mastani✨,Sir Stefano ®,2,1,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Ram Rider,Lightning,Electro Wizard,Arrows,P.E.K.K.A,Bandit,Dark Prince,Royal Ghost
23,Ladder,20211006T140852.000Z,♡｜Mastani✨,SIM I コバン™,1,0,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Miner,Wall Breakers,Hunter,Bandit,Bats,Mega Knight,Zap,Barbarian Barrel
24,Ladder,20211006T140435.000Z,♡｜Mastani✨,NOVA I ERICK,1,0,Ice Golem,Cannon,Musketeer,Fireball,Skeletons,Ice Spirit,Hog Rider,The Log,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
0,Ladder,20211006T133341.000Z,《DARK SENTINEL》,❄Seori❄,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Valkyrie,Miner,Arrows,Minion Horde,Ice Wizard,Rocket,The Log,Tesla
1,Ladder,20211006T132745.000Z,《DARK SENTINEL》,✫ I ƜӇƖƬⲈ ƁⲈƛƦƊ,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Elixir Golem,Inferno Dragon,Tornado,Night Witch,Electro Dragon,Heal Spirit,Rage,Battle Healer
2,Ladder,20211006T132319.000Z,《DARK SENTINEL》,RWV GT,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Dark Prince,Royal Hogs,Heal Spirit,Barbarian Barrel,Zappies,Hunter,Cannon Cart,Fireball
3,Ladder,20211006T013543.000Z,《DARK SENTINEL》,AIM,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Ice Golem,Royal Hogs,Three Musketeers,Heal Spirit,Royal Ghost,Bandit,Hunter,Barbarian Barrel
4,Ladder,20211006T013022.000Z,《DARK SENTINEL》,菜叶,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Goblin Cage,Barbarian Barrel,Zappies,Fireball,Royal Recruits,Royal Hogs,Flying Machine,Arrows
5,Ladder,20211006T012535.000Z,《DARK SENTINEL》,jose_trap77,0,1,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Golem,Night Witch,Lumberjack,Electro Dragon,Mega Knight,Baby Dragon,Guards,Tornado
6,Ladder,20211006T012126.000Z,《DARK SENTINEL》,⚡HarD™⚡,0,1,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Giant,Graveyard,Skeleton Army,Bats,Bowler,Night Witch,Arrows,Giant Snowball
7,Ladder,20211006T011551.000Z,《DARK SENTINEL》,CMG ⚡SamHeяø⚡,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,P.E.K.K.A,Electro Wizard,Royal Ghost,Battle Ram,Bandit,Poison,Zap,Magic Archer
8,Ladder,20211006T011026.000Z,《DARK SENTINEL》,KingXL,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Knight,Fireball,The Log,Archers,Skeletons,Electro Spirit,Tesla,X-Bow
9,Ladder,20211006T010419.000Z,《DARK SENTINEL》,༄ི༽恒古༼༄ི,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,The Log,Fisherman,Skeletons,Royal Ghost,Mega Minion,Mother Witch,Royal Giant,Fireball
10,Ladder,20211006T005848.000Z,《DARK SENTINEL》,Stif Master ☮,0,1,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Zap,Spear Goblins,Knight,Barbarians,Fireball,Musketeer,Hog Rider,Goblin Barrel
11,Ladder,20211006T005328.000Z,《DARK SENTINEL》,무지개,0,1,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Tornado,Bowler,Inferno Dragon,Electro Wizard,Graveyard,Freeze,Ice Wizard,Valkyrie
12,Ladder,20211006T004804.000Z,《DARK SENTINEL》,GuntherSheep,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Royal Hogs,Mega Knight,Flying Machine,Goblin Hut,Mother Witch,Fireball,Zappies,Royal Ghost
13,Ladder,20211006T004153.000Z,《DARK SENTINEL》,steven❤️氣球,0,1,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Miner,Tesla,Giant Snowball,Skeletons,Royal Delivery,Archers,Balloon,Ice Golem
14,Ladder,20211006T003512.000Z,《DARK SENTINEL》,Diego gfp,0,1,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Musketeer,Cannon,Ice Spirit,The Log,Fireball,Hog Rider,Ice Golem,Skeletons
15,Ladder,20211006T002752.000Z,《DARK SENTINEL》,獅子神,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Elixir Golem,Night Witch,Arrows,Wizard,Three Musketeers,Mini P.E.K.K.A,Golem,Skeleton Army
16,Ladder,20211006T002323.000Z,《DARK SENTINEL》,Koh❤Neffex,0,1,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Princess,Rocket,Goblin Barrel,Inferno Tower,The Log,Electro Spirit,Goblin Gang,Knight
17,Ladder,20211006T001732.000Z,《DARK SENTINEL》,Alejandro✨,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Ice Golem,Hog Rider,Musketeer,The Log,Cannon,Ice Spirit,Skeletons,Fireball
18,Ladder,20211006T001313.000Z,《DARK SENTINEL》,光线_™✨,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,P.E.K.K.A,Fireball,Zap,Battle Ram,Magic Archer,Electro Wizard,Bandit,Royal Ghost
19,Ladder,20211006T000659.000Z,《DARK SENTINEL》,I'm loss,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Mega Minion,Night Witch,Lumberjack,Golem,Zap,Baby Dragon,Elite Barbarians,Tornado
20,Ladder,20211005T231342.000Z,《DARK SENTINEL》,CMG ⚡️Edu Light,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,The Log,Bats,Spear Goblins,Fireball,Miner,Knight,Bomb Tower,Wall Breakers
21,Ladder,20211005T230804.000Z,《DARK SENTINEL》,9951314,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Mega Knight,Mother Witch,Goblin Hut,Electro Wizard,Fireball,Bandit,Furnace,Cannon Cart
22,Ladder,20211005T230436.000Z,《DARK SENTINEL》,Diluzzzz,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Arrows,Fireball,Minions,Mega Minion,Zap,Giant,Dark Prince,Prince
23,Ladder,20211005T230108.000Z,《DARK SENTINEL》,Baltram,1,0,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Electro Giant,Bowler,Baby Dragon,Mega Minion,Goblin Cage,Barbarian Barrel,Tornado,Lightning
24,Ladder,20211005T225557.000Z,《DARK SENTINEL》,OP KRYPTO,0,3,Cannon,Ice Golem,Hog Rider,Fireball,The Log,Musketeer,Skeletons,Ice Spirit,Royal Giant,Mega Minion,Dark Prince,Mother Witch,Skeletons,Fisherman,Fireball,The Log
0,Ladder,20211006T181141.000Z,Alex,Sofiane JR,1,0,Ice Golem,Musketeer,Hog Rider,Cannon,The Log,Fireball,Skeletons,Ice Spirit,Valkyrie,Royal Hogs,Mortar,Musketeer,Spear Goblins,Fire Spirit,Earthquake,Royal Delivery
3,Ladder,20211006T175620.000Z,Alex,Renan Cava,1,0,Ice Golem,Musketeer,Hog Rider,Cannon,The Log,Fireball,Skeletons,Ice Spirit,X-Bow,Tornado,Bomber,Ice Golem,Skeletons,Mega Minion,The Log,Rocket
4,Ladder,20211006T175051.000Z,Alex,αʍιƦ κhα†αƦ cƦ,1,0,Ice Golem,Musketeer,Hog Rider,Cannon,The Log,Fireball,Skeletons,Ice Spirit,Goblin Giant,Rage,Mini P.E.K.K.A,Mega Minion,Electro Wizard,Zap,Dark Prince,Sparky
12,Ladder,20211006T171254.000Z,Alex,DREWBEE900,2,1,Ice Golem,Musketeer,Hog Rider,Cannon,The Log,Fireball,Skeletons,Ice Spirit,Lava Hound,Fireball,Minions,Balloon,Skeleton Army,Tombstone,Baby Dragon,Zap
13,Ladder,20211006T170822.000Z,Alex,OC™️ I ⚡️Brad⚡️,1,0,Ice Golem,Musketeer,Hog Rider,Cannon,The Log,Fireball,Skeletons,Ice Spirit,Bomber,Arrows,Elixir Golem,Electro Dragon,Battle Healer,Elite Barbarians,Inferno Dragon,Rage
14,Ladder,20211006T165230.000Z,Alex,KING OF ZUERA,1,0,Ice Golem,Musketeer,Hog Rider,Cannon,The Log,Fireball,Skeletons,Ice Spirit,Goblin Giant,Dark Prince,Mega Minion,Mini P.E.K.K.A,Electro Wizard,Zap,Sparky,Rage
15,Ladder,20211006T164810.000Z,Alex,FeelThePain,1,0,Ice Golem,Musketeer,Hog Rider,Cannon,The Log,Fireball,Skeletons,Ice Spirit,Archers,Skeletons,Tesla,Fireball,Electro Spirit,Knight,X-Bow,The Log
