,gamemode,battletime,p1.name,p2.name,p1.crowns,p2.crowns,p1.card_1,p1.card_2,p1.card_3,p1.card_4,p1.card_5,p1.card_6,p1.card_7,p1.card_8,p2.card_1,p2.card_2,p2.card_3,p2.card_4,p2.card_5,p2.card_6,p2.card_7,p2.card_8
19,Ladder,20211006T110951.000Z,Rainbow Socks,minority,1,0,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Golem,Lumberjack,Baby Dragon,Mega Minion,Barbarian Barrel,Elite Barbarians,Electro Dragon,Tornado
20,Ladder,20211006T101710.000Z,Rainbow Socks,O PAI TA ON ❤,1,0,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Goblin Barrel,Goblin Gang,Rascals,Princess,Prince,Rocket,Dart Goblin,The Log
21,Ladder,20211006T101226.000Z,Rainbow Socks,병진,0,1,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Mortar,Miner,Musketeer,Elite Barbarians,The Log,Fireball,Ice Golem,Skeletons
22,Ladder,20211006T095556.000Z,Rainbow Socks,OP | Pomelo 柚子,1,0,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Skeleton Army,Mega Knight,Prince,Goblin Barrel,Dart Goblin,Firecracker,Bats,Royal Giant
23,Ladder,20211006T095012.000Z,Rainbow Socks,磕唠,1,0,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Mega Knight,Ram Rider,Bandit,Electro Wizard,Inferno Dragon,Giant Snowball,Barbarian Barrel,Poison
24,Ladder,20211006T094451.000Z,Rainbow Socks,GS❤奇迹,0,1,Hog Rider,Musketeer,Fireball,The Log,Ice Golem,Skeletons,Ice Spirit,Cannon,Mega Knight,Dart Goblin,Prince,Princess,Skeleton Army,Goblin Barrel,Bats,Royal Giant
0,Ladder,20211006T192715.000Z,Alejandro✨,SبOيHحAصُIB,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Fireball,Minion Horde,The Log,Miner,Furnace,Inferno Tower,Skeleton Army,Dark Prince
4,Ladder,20211006T152525.000Z,Alejandro✨,HapyMaher,0,3,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Skeletons,Royal Ghost,Ice Golem,The Log,Fireball,Royal Hogs,Three Musketeers,Hunter
5,Ladder,20211006T045706.000Z,Alejandro✨,獅子神,2,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Elixir Golem,Night Witch,Arrows,Wizard,Three Musketeers,Mini P.E.K.K.A,Golem,Skeleton Army
6,Ladder,20211006T045305.000Z,Alejandro✨,D◇E◇R◇E◇K,2,3,Firecracker,The Log,Hog Rider,Valkyrie,Skeletons,Tesla,Fire Spirit,Earthquake,Lava Hound,Balloon,Miner,Skeleton Dragons,Barbarians,Arrows,Zap,Inferno Dragon
7,Ladder,20211006T041552.000Z,Alejandro✨,MONPAN,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Golem,Night Witch,Baby Dragon,Mega Minion,Barbarian Barrel,Goblin Cage,Lightning,Tornado
8,Ladder,20211006T034652.000Z,Alejandro✨,YoSoyRick_YT,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Archers,Ice Spirit,Tornado,The Log,Mortar,Rocket,Skeletons,Knight
9,Ladder,20211006T034057.000Z,Alejandro✨,sweet,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Ram Rider,Inferno Dragon,Magic Archer,Lumberjack,Bandit,Barbarian Barrel,Fireball,Ice Golem
10,Ladder,20211006T033457.000Z,Alejandro✨,☢️__D@nY__☢️,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Royal Ghost,Battle Ram,Bandit,Magic Archer,Fireball,P.E.K.K.A,Electro Wizard,Zap
11,Ladder,20211006T033001.000Z,Alejandro✨,我が名はめぐみん！,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Golem,Lumberjack,Barbarian Barrel,Baby Dragon,Mega Minion,Cannon Cart,Electro Dragon,Tornado
12,Ladder,20211006T032453.000Z,Alejandro✨,angelgamer481,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Elite Barbarians,Mother Witch,Furnace,Fireball,Flying Machine,Mega Knight,Cannon Cart,Goblin Hut
13,Ladder,20211006T031919.000Z,Alejandro✨,༄ི༽恒古༼༄ི,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Ice Spirit,Skeletons,Cannon,The Log,Skeletons,Skeleton Dragons,Goblin Cage,Royal Hogs,Fireball,Cannon Cart,Mother Witch,The Log
14,Ladder,20211006T031323.000Z,Alejandro✨,King Acosta $,1,0,Firecracker,The Log,Hog Rider,Valkyrie,Skeletons,Tesla,Fire Spirit,Earthquake,Rocket,Rascals,Goblin Barrel,Bandit,Spear Goblins,Princess,Cannon Cart,The Log
15,Ladder,20211006T030640.000Z,Alejandro✨,GS❤️北城烟雨,0,1,Valkyrie,Balloon,Tesla,The Log,Electro Spirit,Skeletons,Archers,Fireball,Golem,Night Witch,Baby Dragon,Lumberjack,Mega Minion,Barbarian Barrel,Tornado,Lightning
16,Ladder,20211006T030254.000Z,Alejandro✨,Jessie,1,3,Valkyrie,Balloon,Musketeer,The Log,Electro Spirit,Skeletons,Cannon,Fireball,Lava Hound,Mega Minion,Skeleton Dragons,Zap,Tombstone,Barbarians,Balloon,Fireball
17,Ladder,20211006T025855.000Z,Alejandro✨,Daniel,0,1,Ice Golem,Balloon,Musketeer,The Log,Ice Spirit,Skeletons,Cannon,Fireball,Valkyrie,Bowler,Inferno Dragon,Zappies,Baby Dragon,Graveyard,Freeze,Tornado
18,Ladder,20211006T024807.000Z,Alejandro✨,KENNEDY CLASH,0,1,X-Bow,Archers,Knight,Ice Spirit,Skeletons,Tesla,The Log,Fireball,Lava Hound,Miner,Arrows,Goblin Cage,Mega Minion,Flying Machine,Skeleton Dragons,Guards
19,Ladder,20211006T024424.000Z,Alejandro✨,Jacob™️,1,0,X-Bow,Archers,Knight,Ice Spirit,Skeletons,Tesla,The Log,Fireball,Ram Rider,Inferno Dragon,Magic Archer,Lumberjack,Bandit,Barbarian Barrel,Fireball,Ice Golem
20,Ladder,20211006T023805.000Z,Alejandro✨,RickDam,1,0,Ice Golem,Hog Rider,Musketeer,The Log,Cannon,Ice Spirit,Skeletons,Fireball,P.E.K.K.A,Ram Rider,Electro Wizard,Bandit,Poison,Barbarian Barrel,Dark Prince,Inferno Dragon
21,Ladder,20211006T023320.000Z,Alejandro✨,OneSηιρєzᴳᵒᵈ,0,2,X-Bow,Archers,Knight,Ice Spirit,Skeletons,Tesla,The Log,Fireball,Giant,Three Musketeers,Elixir Collector,Minion Horde,Dark Prince,Goblin Gang,Zap,Heal Spirit
22,Ladder,20211006T022843.000Z,Alejandro✨,梦魇,1,0,Ice Golem,Hog Rider,Musketeer,The Log,Cannon,Ice Spirit,Skeletons,Fireball,Flying Machine,Lava Hound,Bats,Fireball,Lumberjack,Clone,Baby Dragon,Skeleton Army
23,Ladder,20211006T022315.000Z,Alejandro✨,vivek,0,1,Ice Golem,Hog Rider,Musketeer,The Log,Cannon,Ice Spirit,Skeletons,Fireball,Royal Delivery,The Log,Fisherman,Magic Archer,Royal Hogs,Earthquake,Hunter,Goblin Cage
24,Ladder,20211006T021845.000Z,Alejandro✨,Ori✨掠影,1,0,Ice Golem,Hog Rider,Musketeer,The Log,Cannon,Ice Spirit,Skeletons,Fireball,Heal Spirit,Royal Hogs,Royal Ghost,Hunter,Three Musketeers,Bandit,Ice Golem,Barbarian Barrel
0,Ladder,20211006T115345.000Z,Flexinz.™️❤️,kevski,1,0,Cannon,Ice Spirit,Skeletons,The Log,Ice Golem,Hog Rider,Musketeer,Fireball,Hog Rider,Mirror,Guards,Executioner,Freeze,Dark Prince,Three Musketeers,The Log
1,Ladder,20211006T114909.000Z,Flexinz.™️❤️,Amier™『TNT』,1,0,Cannon,Ice Spirit,Skeletons,The Log,Ice Golem,Hog Rider,Musketeer,Fireball,Fireball,Mega Knight,Inferno Dragon,Electro Wizard,Miner,Zap,Prince,Dark Prince
2,Ladder,20211006T114009.000Z,Flexinz.™️❤️,✌️kingmahdi™✌️,2,1,Cannon,Ice Spirit,Skeletons,The Log,Ice Golem,Hog Rider,Musketeer,Fireball,Lava Hound,Inferno Dragon,Balloon,Arrows,Barbarians,Skeleton Dragons,Miner,Zap
3,Ladder,20211006T113518.000Z,Flexinz.™️❤️,Dager,1,0,Cannon,Ice Spirit,Skeletons,The Log,Ice Golem,Hog Rider,Musketeer,Fireball,Elixir Golem,Battle Healer,Fireball,Electro Dragon,The Log,Barbarian Hut,Baby Dragon,Tornado
4,Ladder,20211006T113121.000Z,Flexinz.™️❤️,TroubleMaker,1,0,Cannon,Ice Spirit,Skeletons,The Log,Ice Golem,Hog Rider,Musketeer,Fireball,Bomber,The Log,Fire Spirit,Royal Delivery,Hunter,Skeletons,Royal Hogs,Earthquake
5,Ladder,20211006T112551.000Z,Flexinz.™️❤️,Carlos Andres9,1,0,Cannon,Ice Spirit,Skeletons,The Log,Ice Golem,Hog Rider,Musketeer,Fireball,Valkyrie,Mega Knight,Arrows,Prince,Zap,Bats,Miner,Inferno Dragon
6,Ladder,20211006T112115.000Z,Flexinz.™️❤️,Player royale,0,1,Cannon,Ice Spirit,Skeletons,The Log,Ice Golem,Hog Rider,Musketeer,Fireball,Miner,Inferno Dragon,Balloon,Mega Minion,Fireball,Valkyrie,Goblin Cage,Zap
7,Ladder,20211006T111651.000Z,Flexinz.™️❤️,hermit rd,1,0,Cannon,Ice Spirit,Skeletons,The Log,Ice Golem,Hog Rider,Musketeer,Fireball,Tornado,Executioner,Zap,Hog Rider,Tesla,P.E.K.K.A,Knight,Bandit
8,Ladder,20211006T111128.000Z,Flexinz.™️❤️,MC赵云,1,0,Cannon,Ice Spirit,Skeletons,The Log,Ice Golem,Hog Rider,Musketeer,Fireball,Inferno Dragon,Miner,Balloon,Barbarians,Skeleton Dragons,Lava Hound,Zap,Arrows
9,Ladder,20211006T110641.000Z,Flexinz.™️❤️,あおすちゅ！,1,0,Cannon,Ice Spirit,Skeletons,The Log,Ice Golem,Hog Rider,Musketeer,Fireball,Rascals,Goblin Gang,Rocket,Goblin Barrel,Prince,Princess,Giant Snowball,Dart Goblin
10,Ladder,20211006T103807.000Z,Flexinz.™️❤️,深渊£,1,0,Cannon,Ice Spirit,Skeletons,The Log,Ice Golem,Hog Rider,Musketeer,Fireball,P.E.K.K.A,Electro Wizard,Ram Rider,Mother Witch,Dark Prince,Bandit,Fireball,Barbarian Barrel
11,Ladder,20211006T103259.000Z,Flexinz.™️❤️,onumber,0,1,Elixir Golem,Barbarian Hut,Battle Healer,Baby Dragon,Fireball,Electro Dragon,Heal Spirit,Tornado,Zap,Battle Ram,Fireball,P.E.K.K.A,Dark Prince,Bandit,Magic Archer,Electro Wizard
12,Ladder,20211006T102948.000Z,Flexinz.™️❤️,7uby_UAE,0,1,Elixir Golem,Barbarian Hut,Battle Healer,Baby Dragon,Fireball,Electro Dragon,Heal Spirit,Tornado,Mega Knight,Skeleton Army,Dart Goblin,Goblin Barrel,Prince,Princess,Royal Giant,Bats
13,Ladder,20211006T102609.000Z,Flexinz.™️❤️,전교1등,2,1,Elixir Golem,Barbarian Hut,Battle Healer,Baby Dragon,Fireball,Electro Dragon,Heal Spirit,Tornado,Prince,Dark Prince,Goblin Gang,Spear Goblins,Goblin Giant,Zap,Fireball,Bats
14,Ladder,20211006T102055.000Z,Flexinz.™️❤️,ES│⚡️ЕмЯе⚡️,0,1,Electro Wizard,Dark Prince,Prince,Mega Minion,Fireball,Giant,Zap,Miner,Giant,Balloon,Witch,Valkyrie,Minion Horde,Skeleton Army,Arrows,Rage
15,Ladder,20211006T101743.000Z,Flexinz.™️❤️,Blaskxy❤️,0,1,Electro Wizard,Dark Prince,Prince,Mega Minion,Fireball,Giant,Zap,Miner,Wall Breakers,Fireball,Knight,The Log,Bomb Tower,Bats,Miner,Spear Goblins
16,Ladder,20211006T101107.000Z,Flexinz.™️❤️,やっしー,1,0,Electro Wizard,Dark Prince,Prince,Mega Minion,Fireball,Giant,Zap,Miner,Giant,Dark Prince,Prince,Electro Wizard,Mega Minion,Fireball,Zap,Miner
17,Ladder,20211006T100706.000Z,Flexinz.™️❤️,いとやん,3,0,Electro Wizard,Dark Prince,Prince,Mega Minion,Fireball,Giant,Zap,Miner,Valkyrie,Skeletons,Goblin Drill,Mirror,Wall Breakers,Bats,The Log,Giant Snowball
18,Ladder,20211006T100354.000Z,Flexinz.™️❤️,Yago Fialho,1,2,Electro Wizard,Dark Prince,Prince,Mega Minion,Fireball,Giant,Zap,Miner,Sparky,Electro Wizard,Tornado,Giant,Mini P.E.K.K.A,Fireball,Heal Spirit,Zap
19,Ladder,20211006T095956.000Z,Flexinz.™️❤️,Mr.been,0,1,Knight,Goblin Hut,Royal Giant,Archers,Fireball,Electro Spirit,The Log,Electro Wizard,Hog Rider,Skeletons,Valkyrie,Ice Spirit,Tesla,Firecracker,The Log,Earthquake
20,Ladder,20211006T095556.000Z,Flexinz.™️❤️,馨花丨<c5>冰琴☆彡,1,0,Knight,Goblin Hut,Royal Giant,Archers,Fireball,Electro Spirit,The Log,Electro Wizard,P.E.K.K.A,Battle Ram,Zap,Fireball,Electro Wizard,Magic Archer,Bandit,Royal Ghost
21,Ladder,20211006T095034.000Z,Flexinz.™️❤️,EW丨贼娃子,0,1,Knight,Goblin Hut,Royal Giant,Archers,Fireball,Electro Spirit,The Log,Electro Wizard,Miner,Wall Breakers,Magic Archer,Valkyrie,Tornado,Bomb Tower,The Log,Skeletons
22,Ladder,20211006T094617.000Z,Flexinz.™️❤️,Auk,0,1,Knight,Goblin Hut,Royal Giant,Archers,Fireball,Electro Spirit,The Log,Electro Wizard,Valkyrie,Hog Rider,Tesla,Earthquake,Skeletons,Fire Spirit,Firecracker,The Log
23,Ladder,20211006T094230.000Z,Flexinz.™️❤️,Ben061,0,1,Knight,Goblin Hut,Royal Giant,Archers,Fireball,Electro Spirit,The Log,Electro Wizard,Lava Hound,Arrows,Barbarians,Miner,Inferno Dragon,Flying Machine,Baby Dragon,Goblin Cage
24,Ladder,20211004T124248.000Z,Flexinz.™️❤️,Solo,1,0,Knight,Goblin Hut,Royal Giant,Archers,Fireball,Electro Spirit,The Log,Electro Wizard,Electro Wizard,Giant,Miner,Dark Prince,Zap,Fireball,Mega Minion,Prince
9,Ladder,20211006T201421.000Z,zinedine dz,D|NO™️,1,0,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Mega Knight,Electro Wizard,Bandit,Inferno Tower,Bats,Elite Barbarians,Zap,Goblin Gang
10,Ladder,20211006T200945.000Z,zinedine dz,QLS | Anomalia✨,1,0,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Ice Golem,Hog Rider,Musketeer,Cannon,Fireball,The Log,Ice Spirit,Skeletons
11,Ladder,20211006T200446.000Z,zinedine dz,K L A U S,0,1,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Goblin Barrel,Goblin Gang,Princess,The Log,Rocket,Inferno Tower,Knight,Ice Spirit
12,Ladder,20211006T195750.000Z,zinedine dz,GerasRepXD,1,0,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Giant,Goblin Gang,Arrows,Mega Minion,Graveyard,Tombstone,Poison,Electro Wizard
13,Ladder,20211006T195409.000Z,zinedine dz,『ᴀʀɪᴇʟ』ᴾᶦᵉʳᵒ,3,0,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Magic Archer,Valkyrie,Lightning,Cannon Cart,Balloon,Arrows,Goblin Hut,Royal Delivery
14,Ladder,20211006T195209.000Z,zinedine dz,Ma0067te,0,1,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Ice Golem,Three Musketeers,Elixir Collector,Royal Ghost,Bandit,Elite Barbarians,Heal Spirit,Barbarian Barrel
15,Ladder,20211006T194649.000Z,zinedine dz,mike's acc,1,0,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Goblin Giant,Wizard,Mini P.E.K.K.A,Elite Barbarians,Rage,Electro Wizard,Zap,Sparky
16,Ladder,20211006T194101.000Z,zinedine dz,Starkiller,1,0,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,The Log,Bandit,Inferno Dragon,Tornado,Mega Knight,Skeleton Barrel,Electro Wizard,Miner
17,Ladder,20211006T193530.000Z,zinedine dz,BENJAAAAAAMIN,1,0,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Skeletons,Ice Spirit,Knight,Archers,Tesla,Fireball,X-Bow,The Log
18,Ladder,20211006T193204.000Z,zinedine dz,billitang 18th,1,0,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Barbarians,Wizard,Freeze,Valkyrie,Hog Rider,Zap,Lumberjack,Firecracker
19,Ladder,20211006T191512.000Z,zinedine dz,☆•Ayoub•❤,1,0,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Goblin Giant,Prince,Dark Prince,Goblin Gang,Spear Goblins,Bats,Fireball,Zap
20,Ladder,20211006T191033.000Z,zinedine dz,アヴァルル,1,0,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Golem,Tornado,Cannon Cart,Baby Dragon,Lumberjack,Electro Dragon,Barbarian Barrel,Mega Minion
21,Ladder,20211006T190633.000Z,zinedine dz,aldebaran502,0,1,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Giant,Graveyard,Dark Prince,Inferno Dragon,Poison,Skeleton Army,Witch,Arrows
22,Ladder,20211006T190307.000Z,zinedine dz,MJT Joaquin,1,0,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Hunter,Poison,Giant Snowball,Bomber,Graveyard,Dark Prince,Electro Wizard,P.E.K.K.A
23,Ladder,20211006T185736.000Z,zinedine dz,ユニクロ,1,0,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Baby Dragon,Barbarian Barrel,Cannon Cart,Electro Dragon,Golem,Lumberjack,Mega Minion,Tornado
24,Ladder,20211006T185323.000Z,zinedine dz,⚡ALX_Warrior⚡,1,0,Ice Golem,Fireball,The Log,Musketeer,Ice Spirit,Hog Rider,Cannon,Skeletons,Poison,Dark Prince,Barbarian Barrel,Flying Machine,Mega Knight,Zappies,Royal Hogs,Hunter
0,Ladder,20211007T045719.000Z,<c2>PcGAmer,ライキジョーンズ,0,1,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,The Log,Skeletons,Fire Spirit,Firecracker,Inferno Tower,Valkyrie,Goblin Barrel,Wall Breakers
1,Ladder,20211007T045352.000Z,<c2>PcGAmer,俺ん家レンジ,0,1,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Skeletons,Wall Breakers,Goblin Barrel,Hunter,Cannon Cart,The Log,Princess,Bandit
2,Ladder,20211007T031234.000Z,<c2>PcGAmer,Gaspar D.,0,1,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Poison,Graveyard,Tornado,Barbarian Barrel,Knight,Bomb Tower,Baby Dragon,Ice Wizard
3,Ladder,20211007T030622.000Z,<c2>PcGAmer,Eclipse,0,1,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Electro Wizard,Ram Rider,Royal Ghost,Fireball,Goblin Drill,P.E.K.K.A,Bomber,Bandit
4,Ladder,20211007T025957.000Z,<c2>PcGAmer,MR I Johan,2,1,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Fireball,Minions,Arrows,Valkyrie,Inferno Dragon,Balloon,Tombstone,Lava Hound
5,Ladder,20211007T025418.000Z,<c2>PcGAmer,$D.I.M.A.S$,3,0,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Mega Knight,Elite Barbarians,Flying Machine,Zappies,Mother Witch,Royal Hogs,Fireball,Barbarian Barrel
6,Ladder,20211007T025122.000Z,<c2>PcGAmer,♣️♦️Pedal♥️♠️,0,1,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Royal Recruits,Wall Breakers,Royal Ghost,Elite Barbarians,Princess,Firecracker,Bandit,Goblin Drill
7,Ladder,20211007T024649.000Z,<c2>PcGAmer,EA ⚡️Dani⚡️,0,3,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Giant,Skeleton Army,Musketeer,Mini P.E.K.K.A,Bats,Giant Snowball,Graveyard,Arrows
8,Ladder,20211007T022836.000Z,<c2>PcGAmer,ByMateo❤,1,0,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Arrows,Balloon,Barbarians,Skeleton Army,Ice Wizard,Royal Hogs,Inferno Dragon,Zap
9,Ladder,20211007T022452.000Z,<c2>PcGAmer,肉まん,2,0,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Balloon,Skeleton Barrel,Inferno Dragon,Valkyrie,Clone,Skeleton Army,Arrows,Zappies
10,Ladder,20211007T021936.000Z,<c2>PcGAmer,DREWBEE900,0,1,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Lava Hound,Fireball,Minions,Balloon,Skeleton Army,Tombstone,Baby Dragon,Zap
11,Ladder,20211007T021454.000Z,<c2>PcGAmer,The Goat,0,1,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Valkyrie,Skeleton Barrel,Goblin Barrel,Wall Breakers,Tesla,Firecracker,Goblin Gang,Skeleton Army
12,Ladder,20211007T020814.000Z,<c2>PcGAmer,ᴄᴀʀɴᴀɢᴇ༒,1,2,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Lava Hound,Balloon,Minions,Fireball,Miner,Fisherman,Minion Horde,Zap
13,Ladder,20211007T020124.000Z,<c2>PcGAmer,Pieritoxd,1,0,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Bandit,Rascals,Dart Goblin,Fireball,Giant Snowball,Goblin Barrel,Dark Prince,Cannon Cart
14,Ladder,20211007T015026.000Z,<c2>PcGAmer,TheUnBaD-,3,0,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Royal Recruits,Elite Barbarians,Dark Prince,Arrows,Fireball,Wall Breakers,Flying Machine,Bandit
15,Ladder,20211007T013451.000Z,<c2>PcGAmer,T8848丨南瓜♡️CR!✨,1,0,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Mega Knight,Ram Rider,Electro Wizard,Bandit,Fireball,Inferno Dragon,Zap,Barbarian Barrel
16,Ladder,20211007T012819.000Z,<c2>PcGAmer,IVAN 1❤BM,0,1,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Fireball,Arrows,Graveyard,Tesla,Knight,Inferno Dragon,Sparky,Skeleton Army
17,Ladder,20211007T004545.000Z,<c2>PcGAmer,❄Seori❄,1,0,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Valkyrie,Miner,Arrows,Minion Horde,Ice Wizard,Rocket,The Log,Tesla
18,Ladder,20211007T003947.000Z,<c2>PcGAmer,•♧KO I JARED♧•,1,0,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Knight,Goblin Cage,Mega Minion,Mother Witch,Cannon Cart,Graveyard,Giant Snowball,Fireball
